B_GSM886836	B_GSM886859	B_GSM886901	B_GSM886912	B_GSM887015	B_GSM887088	B_GSM887110	B_GSM887112	B_GSM887118	B_GSM887119	B_GSM887120	B_GSM887124	B_GSM887125	B_GSM887126	B_GSM887314	B_GSM887318	B_GSM887480	B_GSM887527	B_GSM887574	B_GSM887577	B_GSM887596	B_GSM887666	B_GSM887682	B_GSM887689	B_GSM887722	O_GSM886945	O_GSM886996	O_GSM887247	O_GSM887248	O_GSM887249	O_GSM887250	O_GSM887251	O_GSM887252	O_GSM887253	O_GSM887254	O_GSM887255	O_GSM887256	O_GSM887475	O_GSM887476	O_GSM887691	O_GSM887692	O_GSM887693	O_GSM887694	O_GSM887695	O_GSM887697	O_GSM887698	O_GSM887700	O_GSM887701	O_GSM887702	O_GSM887713
55612_at	8.3079	5.339	5.0275	5.2371	8.5324	6.0583	6.3487	6.7404	7.1903	5.1195	5.9676	5.9331	5.7483	7.4943	5.6085	6.1048	8.3969	6.0099	5.5397	6.0591	9.0205	6.7743	6.4759	8.8811	6.1904	8.6047	11.062	9.3397	10.148	9.7264	8.1568	9.2039	9.9266	8.641	9.0074	9.2392	9.6233	10.207	11.093	8.9698	9.6712	10.066	10.019	8.6069	10.223	8.5977	8.6867	6.7812	9.8423	9.715
55620_at	5.8047	5.7266	4.9735	5.345	5.5157	6.5534	4.8387	5.174	4.6505	5.1298	5.527	4.8782	5.239	5.0194	4.873	4.8918	5.2599	5.1182	5.5402	4.5075	5.0068	5.4305	4.6286	4.5439	4.6033	7.9046	8.2506	8.0086	8.8875	8.5047	6.6479	9.2412	8.3199	7.9996	7.5182	6.9563	5.0185	8.6119	8.886	8.0987	8.5262	7.9942	8.3892	7.6278	9.3686	9.1813	8.8344	6.037	8.9901	9.377
5583_at	6.8672	5.0727	4.4523	5.5103	5.1396	6.756	6.0907	5.8094	5.0308	6.3889	6.0864	5.5235	5.6084	5.0811	6.6656	4.4894	5.1996	4.1525	6.2494	5.6033	4.6945	7.5321	6.5122	5.4889	7.8218	8.5553	7.7716	9.0099	7.641	8.8423	8.3638	7.9555	8.1228	7.6004	7.2291	6.6001	7.9713	7.3883	8.0685	9.7476	9.0475	8.6609	8.902	6.8343	9.0412	9.5928	9.8701	6.5064	8.5002	9.2336
5603_at	4.7815	5.0798	4.6327	4.5281	4.68	5.7778	4.6883	6.0777	6.5384	5.293	7.7925	7.7715	6.5574	6.6653	4.7508	4.7939	4.9307	4.9556	4.7427	4.7748	4.9097	6.123	6.1706	6.8511	4.5136	7.354	7.0911	9.2631	8.7544	8.2524	8.5801	9.2007	8.1411	8.2286	8.3611	6.9931	5.0066	8.8616	9.7877	8.6218	9.5016	8.3613	10.045	9.0377	9.487	9.2288	9.2336	5.8184	7.2819	10.042
56181_at	7.131	7.9987	8.3219	8.9779	7.9373	7.0867	7.9336	8.2999	7.8957	8.0395	8.3869	8.1271	8.1033	7.8571	7.3324	7.9592	7.6103	8.7482	8.1774	8.1385	7.5832	7.7359	7.9491	7.6065	7.5702	6.8126	6.2758	6.3784	6.9365	6.1595	6.8168	7.1075	6.5147	6.9865	6.3165	6.8715	7.8365	6.972	5.7183	6.466	6.7013	7.1179	6.0475	6.5061	7.4206	6.908	6.4586	7.5786	7.0868	6.9102
56944_at	5.7712	13.663	5.8467	9.5871	11.198	7.0531	10.23	11.575	10.931	9.335	9.6708	10.337	10.082	11.013	5.2123	13.043	10.136	10.144	9.7675	13.192	12.471	10.655	10.432	6.7958	9.7457	4.7525	4.5922	4.555	4.7559	4.8043	4.531	4.7866	4.6021	4.563	4.5904	4.7417	4.4637	4.6111	4.7247	5.4929	4.6215	4.2532	7.1238	9.9923	4.4459	4.8222	4.5788	6.4534	4.8428	4.8109
57111_at	3.6579	3.8272	3.7066	3.837	3.8869	3.9248	3.7744	3.799	3.8277	4.2032	3.8197	3.9918	4.1162	3.9101	3.9705	3.6274	4.0821	3.8493	3.988	3.9363	3.9355	3.9405	4.0047	4.0267	3.9421	10.394	10.404	10.118	10.767	9.7037	8.554	12.042	9.3943	11.053	11.192	4.8243	3.8735	12.149	9.5815	9.9571	10.633	11.122	10.538	10.394	10.81	10.269	11.026	6.6883	11.409	11.088
57333_at	7.7503	8.6424	6.2504	8.8365	8.6933	7.9143	9.9937	10.447	10.601	10.354	10.263	10.156	9.9815	9.2445	8.8422	6.0439	10.154	8.0933	7.8572	7.9501	7.1186	8.9833	10.743	7.6337	7.8313	7.2075	5.0311	5.0871	4.7853	5.4996	5.1309	4.7433	5.0044	5.3135	4.9768	5.6693	5.1392	6.4807	4.897	4.8844	4.6048	4.6358	4.8786	4.8747	4.6196	4.9906	4.9926	8.474	4.9454	4.5326
57402_at	4.5564	4.1024	4.2379	4.0284	3.8667	4.5964	5.1248	4.2308	4.188	4.0051	4.2501	4.5274	4.5014	4.1333	4.6561	4.1022	4.0954	4.1482	4.2113	4.2571	3.9351	3.9064	4.5251	4.4002	4.2042	9.6415	10.121	6.9146	9.5945	6.6558	9.3939	10.693	6.6693	6.06	9.2629	7.792	4.9857	11.277	7.5934	9.2372	10.464	10.56	9.205	6.8832	10.642	4.9458	10.301	7.0847	10.172	10.752
57616_at	7.8004	7.8171	11.981	8.7358	10.269	5.8927	8.7454	8.6974	8.7947	8.0313	9.117	8.884	8.1188	9.4958	9.4801	8.1599	9.3738	9.0267	8.976	9.9568	11.89	8.391	8.2242	5.2269	8.6695	4.6068	4.9909	8.7408	7.6188	4.8516	6.9132	4.9578	5.9726	5.8076	4.7407	5.144	5.3592	4.701	4.869	5.5928	4.8588	5.3773	4.6624	4.664	4.3837	6.4419	5.8909	8.2128	4.4581	4.8395
57648_at	6.3328	5.9113	6.3428	8.6785	6.4032	7.7426	6.4904	7.6043	6.7195	6.8085	6.5961	6.6643	6.4119	7.2625	7.0656	7.6497	8.1861	7.4314	8.4452	6.814	6.7964	8.2982	7.2758	6.0965	9.1647	10.092	9.302	9.2745	9.5205	9.5043	9.5364	11.513	9.9533	8.5183	10.169	9.1751	9.1672	9.6703	8.8831	9.7937	9.9811	10.243	9.3849	8.5097	9.573	10.249	9.3532	8.839	9.9227	9.9399
5774_at	6.33	4.5109	4.2721	6.7057	5.149	6.7622	5.7404	4.8736	5.1944	5.9609	5.0135	5.2066	5.1022	5.3989	5.6476	6.5277	5.3456	4.9229	5.7	4.4828	5.8792	5.2817	5.3208	4.4231	6.6793	7.8963	7.5262	7.2053	7.1918	6.4242	7.0668	7.6644	6.6299	6.1259	6.8748	6.6978	7.1935	7.9085	7.824	6.2742	6.9035	8.1003	6.7941	7.0311	8.1243	6.4694	7.0111	7.2512	7.0929	7.673
5777_at	4.9806	5.8395	4.3354	5.1913	4.6338	5.2229	5.1786	5.3328	5.0983	4.6827	4.4353	4.5379	5.2542	4.5931	4.7071	4.5709	4.5314	4.9531	4.3871	4.8071	5.4793	4.7714	5.1654	4.6433	4.7827	8.3983	9.1239	5.9934	8.5121	7.489	8.7792	9.9417	8.2418	7.3072	8.4924	7.9871	7.1787	8.5437	7.7881	8.5308	8.0418	4.9401	8.377	7.5638	7.6502	9.1791	7.9087	8.2872	8.4553	9.4377
58495_at	4.7786	4.0972	4.7983	4.3341	4.5197	4.7544	4.4281	4.3939	4.4637	4.3212	4.1999	4.1884	4.4839	4.4705	4.6534	4.5363	4.4539	4.9151	4.3931	4.5836	4.8314	4.2898	4.3473	4.7446	5.8839	5.5418	6.6856	7.7391	7.5327	6.8632	7.142	6.8632	6.3711	8.0648	7.4746	6.1646	6.2843	9.5281	6.3102	8.6333	7.102	8.3492	9.4402	7.8584	8.0012	6.8765	7.7054	4.2738	7.9578	7.1099
6195_at	5.661	5.2122	5.6659	5.739	4.0672	5.5004	4.0597	3.7672	4.0094	3.839	3.8452	4.0784	3.9612	4.2572	4.7527	6.1318	4.4469	6.3976	5.0817	5.8197	5.2859	5.3793	4.0352	5.6503	6.7323	6.6073	6.0966	6.7493	6.7217	7.1273	7.1175	6.5342	6.8347	6.4313	7.7309	6.3315	6.4988	8.7741	6.1315	7.3806	7.6717	7.1758	7.2025	6.4141	7.0169	7.4508	6.4246	6.4045	6.8929	6.8884
6383_at	8.2567	9.771	12.098	10.083	9.2734	10.724	12.09	10.985	10.632	12.294	10.664	11.42	10.4	9.6561	9.5625	9.7632	10.295	8.31	11.474	5.9887	9.0809	10.126	10.497	4.4513	10.199	4.346	4.1428	6.4173	4.1647	4.7784	7.7764	4.3904	4.134	5.4687	4.4017	8.9454	5.8369	4.364	3.8897	5.7056	4.1443	6.4339	4.2332	4.0232	7.1411	3.9835	6.8027	10.857	5.2156	8.078
638_at	5.4839	5.6438	5.0308	4.6969	5.6078	5.624	5.3239	6.3229	4.8323	6.2663	5.456	5.978	5.325	6.0814	4.3643	5.4438	6.1163	4.5916	6.041	3.7596	4.9166	5.9997	6.0979	5.2933	7.1202	9.8153	9.1377	7.4936	6.9586	6.3987	6.9374	9.5773	7.4851	7.6498	10.404	7.5442	10.048	9.1922	10.78	11.082	9.7716	8.1394	9.7859	9.3598	8.4379	7.2786	6.8734	6.7592	10.142	8.4479
64073_at	3.9557	4.5665	3.9729	3.7054	3.3974	3.939	4.4069	3.9869	3.7897	3.8874	4.4156	4.2626	3.9126	3.9167	4.1283	3.3853	3.4971	3.8032	3.9848	4.1357	3.9162	3.6196	4.4129	3.8136	11.448	12.065	11.553	10.151	10.392	11.243	10.181	11.22	12.067	8.1458	10.877	12.163	10.134	11.887	12.031	12.225	10.656	11.14	11.871	11.875	10.15	10.014	7.7756	9.0731	10.85	10.464
642273_at	3.5156	7.7932	6.0195	3.7919	3.671	3.7092	3.7619	3.5721	3.5415	3.6025	3.7633	3.5842	4.1377	3.4393	3.7037	4.8022	3.9996	4.4123	3.6581	3.6388	3.5479	4.6073	3.9181	3.818	6.3237	7.5414	9.1691	6.2015	9.2576	7.6441	7.3219	9.9737	8.4918	7.1657	8.7886	6.6321	9.6389	8.2481	10.14	5.9252	9.3962	10.026	9.255	7.7182	9.1372	10.05	6.0876	6.5363	9.3097	9.3759
642587_at	3.9401	3.7568	3.6978	3.789	3.449	3.7455	4.7451	3.6931	3.7683	3.6289	3.636	3.6794	3.725	3.5062	3.8486	3.7185	4.1534	3.7121	3.4473	3.5146	3.3586	4.0508	3.6369	3.6123	4.1653	13.512	14.178	12.65	13.18	12.964	13.471	13.758	11.221	13.819	12.835	11.861	12.293	3.5719	11.656	11.632	13.223	13.434	13.408	11.597	7.143	13.434	13.488	10.566	13.43	13.249
64866_at	5.9727	4.7464	4.676	4.9324	4.8463	4.9432	4.8079	5.3583	5.0632	4.6776	5.0153	4.6585	5.1398	7.0098	4.7841	4.5146	5.1106	4.9751	4.7468	4.6602	4.9404	4.7434	4.9147	5.0222	4.6251	7.0803	7.3805	6.0226	7.2207	6.8388	7.2124	6.6047	6.4169	6.1692	6.7832	6.3759	6.7324	6.1881	7.6468	6.8058	7.0555	6.2582	6.861	6.7606	6.6305	6.2071	6.2424	5.3384	6.3542	5.9371
6590_at	5.4107	6.0787	4.8431	5.672	5.6584	5.5491	6.2829	5.1134	5.7133	5.5383	5.0809	5.7352	6.4897	5.1385	7.5594	5.3859	5.3513	6.1999	5.8717	4.983	5.4216	5.4611	6.0509	5.1069	5.408	11.325	13.116	6.6408	10.048	6.4129	8.3414	7.9302	11.469	9.2677	10.771	12.26	11.394	11.989	9.3264	10.595	11.066	11.949	11.081	9.0509	11.845	11.053	10.916	10.813	13.01	8.8492
6653_at	7.9188	5.4233	4.4128	6.9805	5.1162	6.9527	5.317	5.2183	4.9026	5.018	4.7375	4.561	5.3148	7.6399	5.7208	5.6024	5.8263	4.784	4.652	6.2423	4.5432	7.0306	4.8272	4.8894	7.0667	10.491	8.9852	10.073	10.274	8.9926	9.5645	9.8908	10.078	6.3403	8.7966	9.7044	10.215	11.137	7.2545	9.69	8.6742	9.7309	9.4325	8.9781	9.5477	10.17	9.7862	9.2373	9.9681	9.384
6678_at	9.4795	9.8412	3.8418	11.751	11.438	11.697	12.818	12.877	12.962	12.815	12.976	12.406	12.112	11.824	11.806	11.265	12.431	7.2818	12.734	8.1382	9.3258	12.593	12.769	7.5776	10.875	9.9925	3.7002	3.6805	3.8073	3.7163	3.8943	3.7207	3.7607	3.5987	9.9585	5.0009	3.7635	3.8016	3.8089	3.913	3.803	3.6915	7.5966	7.345	3.7353	3.6643	3.8998	5.6739	3.6931	3.921
6692_at	3.9987	4.9198	4.9217	4.3386	4.0415	4.4221	3.9461	4.2611	4.3292	3.9845	4.1084	3.9306	4.3022	3.9405	4.5883	6.4987	4.2049	5.1596	3.9528	5.8526	5.8629	4.0888	3.9038	3.9619	3.8995	11.054	10.18	9.0473	9.3411	9.2201	9.9857	10.114	9.7537	8.6289	9.4866	7.8876	8.6255	10.172	8.4316	10.104	9.8733	9.9481	10.035	8.8549	11.3	9.5807	8.8786	7.0214	10.909	10.071
6768_at	3.9203	3.7608	3.7343	3.8299	3.7386	4.2655	3.9541	3.8752	4.3153	4.0995	4.0836	3.6805	4.2884	3.8997	4.183	3.8201	4.139	3.7121	3.7329	3.8196	3.6699	3.9928	4.1193	4.1613	3.7411	8.3681	6.9451	7.8396	8.5912	7.023	8.8428	8.4615	8.6911	5.8835	7.8904	5.3279	6.5399	9.883	9.0142	7.6098	8.0951	8.2699	7.9896	8.2833	8.0485	8.013	7.699	5.4624	7.9423	7.0816
688_at	6.9804	6.0574	4.9994	6.2721	5.4033	8.0946	6.7567	7.8896	6.2845	5.4482	7.5944	5.732	5.2763	5.4955	7.6409	6.6059	8.0938	4.2403	6.4264	4.5269	4.9478	7.1895	6.8214	5.2019	7.8729	9.3212	10.993	9.6701	9.5585	11.002	10.319	10.916	10.447	10.63	10.373	11.335	11.056	11.558	9.5381	10.441	11.132	11.436	10.909	9.6292	8.5879	9.9946	10.343	7.8039	11.549	12.262
7464_at	6.0229	4.2381	4.1156	5.93	4.4959	4.9645	4.4635	4.4423	4.3181	3.9712	4.2036	4.9515	4.382	3.7486	3.9037	5.8521	4.0707	4.7149	4.4081	4.4037	4.067	5.5969	4.802	4.3076	7.4013	7.6822	8.771	8.7336	8.256	8.4199	7.4694	9.4695	6.9698	8.2022	8.892	7.9892	8.6517	9.5914	5.0298	6.3425	8.1357	10.304	7.935	7.295	8.2074	7.4932	7.8499	8.6593	8.5198	8.0748
7718_at	4.4483	4.4282	3.9076	4.8062	4.3208	6.1124	4.3261	4.1518	4.3277	4.0606	4.1636	4.1713	3.6121	3.867	4.5579	4.4184	4.1565	5.042	3.8874	4.9788	4.3482	3.9953	3.8674	5.28	6.06	9.1503	8.5518	6.8239	9.6908	7.9939	8.7297	6.4209	6.2352	8.7906	8.3744	6.5313	6.6538	7.3808	8.2643	7.9841	8.1331	7.9839	8.492	9.1139	6.9206	7.3524	8.6153	6.6992	7.0993	8.2632
780_at	7.0132	8.873	8.8415	8.1965	6.7878	8.294	8.2508	8.6569	8.5784	8.2388	8.4629	7.5196	6.827	7.6475	7.4858	8.3358	8.2622	9.2952	7.8163	8.9772	9.6024	9.1329	7.8801	7.9147	9.4443	11.722	11.577	11.144	12.507	10.42	11.449	11.866	10.046	10.067	11.001	9.7304	11.067	10.771	10.7	10.893	10.991	10.7	11.342	9.875	10.768	10.756	10.851	9.0943	11.082	11.558
79056_at	5.0766	6.6742	4.5642	4.9848	4.5701	5.3608	4.9426	5.0825	4.7766	4.6407	5.1507	4.7367	4.9271	5.0602	4.8338	5.3183	4.695	4.6048	4.8104	4.7847	4.7317	4.7811	5.0151	4.6309	5.0935	9.5325	8.878	9.2664	10.973	9.0471	8.2009	9.4218	9.258	9.4635	8.4227	7.3592	9.6956	9.0205	9.9743	7.2146	10.304	10.075	8.7259	7.1381	8.319	9.7347	8.0834	7.0458	10.962	10.264
79767_at	4.2554	4.4975	4.1912	4.3535	4.029	4.3897	4.1481	3.886	4.054	3.8036	3.7462	4.1227	3.7289	4.0757	4.5253	3.8824	4.369	4.4809	4.8518	4.4701	4.4756	4.4068	3.9653	5.5449	5.0185	7.8345	8.3872	6.4326	6.6468	6.357	7.0353	8.6201	5.9732	6.8985	8.2939	6.8809	4.4634	8.1311	6.7994	7.9254	7.5735	7.1917	7.3514	6.2019	7.3908	6.9652	7.3372	5.1606	8.4796	8.6546
79774_at	4.7799	6.3273	5.8625	4.5301	3.671	5.5535	3.6146	3.918	3.4403	3.8365	4.2191	3.9497	3.8931	6.2269	4.1336	7.223	3.9743	7.7132	4.2617	6.6598	7.2685	5.1999	3.3386	6.1394	5.3242	8.8562	8.0203	9.4661	9.3384	10.099	9.289	9.6103	7.5621	7.3619	7.8949	8.2857	5.9952	10.596	7.1257	7.142	8.6317	9.6938	8.0391	8.6071	7.9148	8.7687	8.6969	6.6342	8.9038	10.208
79827_at	9.4254	9.2707	4.0275	8.5238	9.9889	8.99	9.0477	9.9345	10.9	8.3479	10.57	9.9786	10.463	9.8851	9.7313	8.0838	9.4397	7.6812	8.344	7.8123	9.3067	8.7424	10.65	9.0542	4.7319	4.9854	4.218	4.0163	4.061	4.5022	6.0342	4.5408	4.5729	4.3323	5.3318	7.6232	4.4723	4.128	4.7286	4.7328	6.655	4.996	4.394	5.7077	3.9623	4.2375	3.9789	4.9764	4.6003	3.9995
7984_at	6.2072	6.7089	7.015	6.0587	5.0701	6.1405	6.9534	7.083	6.8752	6.7418	6.9223	6.7115	7.0419	6.5048	6.7646	6.9547	4.9021	6.8011	5.6401	6.1593	6.1923	8.2259	6.7583	6.2316	6.2888	8.3889	9.2195	8.6943	8.931	8.4628	8.2399	8.6686	8.0629	8.3469	8.0068	7.7694	8.5312	8.6462	7.9508	8.9822	8.3531	8.1683	8.6771	8.7848	8.8362	8.1117	8.2207	7.347	8.0721	8.9744
79977_at	3.9793	4.1356	3.7175	3.8662	3.9553	4.0729	4.3747	4.3172	3.9019	4.1114	3.9892	3.8717	4.2381	3.7035	4.024	3.9184	3.5499	4.2686	4.2439	3.9563	3.9013	3.5421	4.4944	4.0936	3.6052	8.6305	7.6233	8.4063	7.6707	7.8467	7.8462	8.7311	9.0687	7.7963	7.917	5.8166	4.0449	7.6606	7.5703	8.0823	9.0322	8.885	7.9617	8.131	7.9495	9.853	8.5013	4.4148	8.5234	9.4563
79993_at	6.0253	3.9228	4.3549	8.7053	4.2225	6.4303	6.0442	3.9877	3.6257	4.1569	3.7797	3.7933	3.8813	3.6577	3.8333	5.8679	3.8972	3.7317	3.7246	4.7877	5.4632	6.3723	4.0357	4.087	8.1776	8.4484	8.2001	8.093	8.7293	5.9609	8.4584	8.8597	8.8886	7.2893	8.1053	8.3334	9.0673	5.8685	9.6255	7.5122	8.0239	8.1679	8.8623	9.0917	8.2099	7.7827	7.5984	8.0519	6.1756	7.0895
80004_at	4.8369	4.2314	4.8761	4.0217	4.3585	5.9925	4.7467	4.1974	4.7125	4.1505	4.7113	4.9075	4.6582	4.7095	4.4361	4.2511	4.1218	4.2537	4.6742	4.5611	4.4874	4.4261	4.5258	4.7341	4.6491	8.4303	7.6558	8.0562	9.6311	9.0838	8.559	9.6896	8.467	8.9192	9.2253	7.4334	4.436	9.611	9.1855	9.8831	8.8031	7.8193	9.3739	8.1799	10.317	9.6743	8.4096	6.9906	9.102	10.186
83604_at	6.986	10.725	6.7236	8.4182	11.151	3.7743	9.5477	11.316	12.19	11.452	12.122	11.701	11.34	10.963	8.6286	12	5.1692	10.142	10.234	8.7962	9.8607	9.553	11.487	9.1467	6.3725	3.6646	3.9834	5.0122	3.849	3.7818	7.111	3.9614	3.704	4.1532	3.8481	5.6917	3.8983	4.7183	3.7934	4.9628	3.6585	3.6686	3.7921	3.618	3.8255	3.882	3.6311	3.6078	4.5739	4.1093
84056_at	7.2754	8.4746	7.552	7.7733	7.6875	7.3271	8.3711	7.5642	7.8146	8.8782	7.4978	8.536	8.144	7.9224	7.7265	7.5048	7.8661	7.6698	8.3094	7.8399	8.4435	7.1489	8.2073	8.3062	7.4401	5.8844	5.8099	7.0432	5.2685	5.5246	6.6239	4.8448	5.0225	4.6324	5.3579	6.2902	5.144	3.8691	5.4737	5.2079	6.5108	5.6098	5.3259	7.13	5.7601	5.6211	5.5024	6.9502	6.8537	5.9884
84168_at	7.5394	9.2073	8.4004	9.6387	7.537	7.4049	9.8744	9.2646	9.2213	9.4755	10.106	8.6637	8.0154	8.6848	8.5775	8.4208	9.8362	7.0082	8.0548	8.486	7.5358	8.8276	8.9805	9.0478	8.3171	6.4626	6.0299	6.2837	7.0206	6.8013	7.553	6.6925	7.8369	7.0619	6.0379	8.3191	6.4531	4.3931	4.4666	5.3599	6.6281	5.9676	4.8751	7.8669	5.7467	4.9846	6.1857	7.4522	5.7674	5.9008
84451_at	6.6929	4.4132	4.3278	6.0474	4.0865	7.0712	5.6841	3.9908	4.4811	4.5865	3.8397	3.9545	4.8641	4.5557	6.4789	8.2369	4.2119	6.8072	4.3536	5.6564	4.7308	6.6449	3.8682	4.6347	6.6059	9.1133	9.2149	8.1783	7.051	9.1787	8.0941	6.9518	6.9371	8.6013	9.6558	7.8017	9.0206	8.8721	9.796	6.9739	8.2931	9.7117	8.2337	8.4419	8.0912	9.3604	9.0249	6.7958	7.9024	7.9533
84958_at	4.7747	5.032	4.8894	4.4891	4.2945	4.7857	4.0593	3.9294	4.9894	4.3854	4.7435	4.5626	4.4746	3.8645	5.0179	4.7237	4.5306	4.8917	5.3264	4.2227	4.4589	5.3259	3.7206	5.6918	6.6352	8.628	7.9675	7.0591	8.4835	6.0944	7.6306	8.7152	7.2585	8.6393	7.8488	7.3382	9.1604	8.6882	7.5947	7.8422	7.7899	8.3825	7.307	6.8469	7.7076	8.3449	8.1226	7.5214	9.0092	10.004
85360_at	6.3866	6.143	6.4029	6.6342	7.5949	6.3252	6.6791	7.718	6.6546	7.3148	7.277	6.7427	6.7721	6.3147	7.9951	6.4463	6.6229	6.042	7.1021	6.1495	6.2289	6.5307	6.9943	6.3608	6.4419	5.1582	4.9114	4.9474	5.6337	5.6269	6.0859	5.4336	5.2767	4.9037	5.1683	6.3376	5.0898	5.0867	4.7417	5.1276	4.8726	4.7592	5.1976	5.5619	4.9023	5.3222	4.9389	5.9192	4.985	4.8881
85458_at	5.8652	7.4835	7.4848	6.7672	8.2412	6.081	8.1574	6.5956	6.7353	7.3616	6.84	6.6781	6.9218	6.5022	6.1546	8.1675	6.5119	8.2843	6.6649	7.552	7.6407	6.8547	7.1974	7.7034	6.5569	5.3305	5.3738	5.6497	5.3664	5.6896	5.6219	5.1301	5.3257	5.7502	5.4955	5.705	5.288	5.5741	5.473	5.5181	5.6105	5.5166	5.126	5.4783	5.2561	5.3708	5.8863	7.1952	5.1753	5.5211
8612_at	9.025	4.5055	4.9093	6.9713	5.0436	5.9812	4.3553	6.3201	4.3227	4.5094	4.1512	4.6852	4.5468	4.2435	7.1515	5.9162	8.4464	5.3709	5.6471	4.506	5.9647	5.0864	3.9403	4.6871	8.6573	8.6678	10.04	10.437	9.8839	9.7438	8.8204	10.435	9.9293	9.4145	10.17	8.0486	10.835	10.544	8.6936	9.0175	9.9692	9.4726	10.005	8.9775	9.7327	9.4853	9.5041	8.8202	9.2213	10.282
8673_at	3.5523	4.5049	3.6639	4.2964	3.9024	3.5297	5.6737	4.6957	3.6656	4.6243	7.4047	3.8928	5.4588	7.1315	4.0213	3.7725	3.4583	4.143	3.8162	4.3879	3.8373	7.3116	4.7022	4.3706	9.5279	11.333	10.493	10.671	11.598	10.225	11.012	12.268	11.46	10.82	11.286	10.868	10.45	11.62	11.63	10.999	10.744	11.134	11.726	12.171	11.595	12.234	10.556	10.38	12.113	12.13
8711_at	5.6039	5.7227	5.3946	4.9539	5.2438	5.5565	5.2978	5.1449	4.8062	5.1829	5.2609	5.0992	5.6917	4.8407	5.1235	5.3369	5.1332	5.5165	5.1134	5.176	5.5571	5.0064	5.3945	5.9999	4.6668	6.7819	6.5414	6.4446	7.1306	7.2377	7.3392	7.1663	7.2865	7.0573	6.7407	6.3708	5.6427	6.7036	6.0898	6.9185	6.5925	6.2282	7.2977	6.4996	6.1654	6.8613	6.4022	6.3864	6.8442	6.7534
8906_at	7.9504	7.5226	8.5499	6.2824	6.2197	7.4337	7.5834	6.0106	6.2199	6.5176	6.718	6.3583	5.9891	6.2363	6.7678	7.0175	7.3267	7.6071	6.1497	7.8016	7.6791	7.5546	7.2067	8.0038	9.1267	9.0515	10.347	9.6268	9.6269	9.6649	9.0137	10.087	8.6104	8.2303	9.6313	8.8679	7.8802	9.3831	8.6955	10.371	9.2528	8.6955	9.0107	9.0015	9.6479	10.026	10.046	8.7704	10.269	10.022
89796_at	8.3155	8.0362	6.7611	8.6341	9.2548	8.0647	9.5915	9.4201	10.058	9.5967	10.322	9.7527	8.9193	9.2234	9.4403	9.7387	8.5767	8.745	7.2027	9.2437	7.7855	9.2673	9.593	7.3153	6.9204	5.9829	6.2512	6.5282	6.1724	6.2014	7.1454	7.0125	5.7501	5.4694	5.2493	6.0059	6.1383	5.4308	5.9726	5.23	6.1705	6.7018	5.0353	5.7503	7.8128	6.5708	5.5143	8.2245	6.8157	6.9861
9053_at	4.2832	3.9709	3.8584	4.8166	4.1322	4.1001	4.1367	4.2977	4.2959	4.5927	3.9319	3.9261	4.4227	4.0636	3.954	4.0129	4.0488	4.0414	4.0001	3.8786	3.8631	4.241	4.2999	3.8589	5.1532	8.4846	9.0318	8.3757	8.2513	7.6778	8.3887	8.3344	8.0179	7.9593	8.6919	4.8741	7.1344	8.6806	8.6869	7.1752	8.281	8.4781	8.2274	8.137	9.1306	7.9702	8.1483	6.3009	7.5065	8.396
91862_at	4.8461	4.768	4.4071	4.5101	4.5325	4.9402	4.7255	4.4463	4.6312	4.4278	4.3487	4.5174	4.7931	4.1786	4.9931	4.9355	4.6649	4.4865	4.7966	4.6566	4.8157	4.784	4.7318	4.7291	4.7814	6.9172	7.1277	6.837	7.5615	7.6941	8.1319	7.0446	6.4761	6.9022	6.8864	5.6152	6.0412	6.6418	7.4153	6.4096	5.6937	6.1828	7.1545	6.5797	7.323	7.3926	5.85	4.7462	6.5077	7.0857
92359_at	5.5018	5.1789	5.1726	5.1636	5.4788	5.6266	4.8351	5.0911	5.2885	4.9434	5.3484	5.2279	5.4324	5.2056	5.3492	4.9989	4.9935	4.9895	5.5535	5.0945	5.5004	5.5489	5.8904	5.3021	5.3266	7.3116	8.8976	7.385	7.1726	7.5153	6.3927	7.838	6.5712	7.6543	6.6071	6.9728	6.2636	7.0024	8.2326	6.8497	7.2708	7.1079	7.3006	7.5229	8.1496	7.1943	7.1718	5.4666	6.822	7.7529
92421_at	7.6514	5.2282	4.1325	5.4126	4.3673	4.3934	6.0726	4.1996	4.1904	4.1453	4.4393	4.6208	3.6054	3.9125	4.4116	4.1521	4.5105	6.7288	4.0765	4.0205	4.2815	4.6747	4.3442	4.8966	8.2393	9.7488	10.638	8.549	10.055	8.6842	8.9526	11.08	9.8083	9.4775	9.0126	9.2422	3.9858	10.895	10.038	8.4368	9.0143	10.774	8.9826	9.0887	10.87	9.3655	9.0911	7.3625	9.4804	10.456
92714_at	6.0335	6.2794	6.2121	6.5609	4.9882	6.1054	5.9371	6.031	6.3678	5.5127	6.4173	6.2301	5.6403	5.9097	5.3749	6.5603	6.0819	6.7138	5.2894	6.4328	5.943	6.4291	6.539	6.3415	6.1481	8.021	8.1411	7.1493	9.1458	7.2564	6.7573	10.021	7.2075	7.3824	8.4579	7.4561	7.3026	9.687	8.0915	7.0098	8.004	8.4452	8.0558	8.5795	8.4791	9.0073	6.5203	7.3218	7.8486	7.9767
