B_GSM886836	B_GSM886859	B_GSM886901	B_GSM886912	B_GSM887015	B_GSM887088	B_GSM887110	B_GSM887112	B_GSM887118	B_GSM887119	B_GSM887120	B_GSM887124	B_GSM887125	B_GSM887126	B_GSM887314	B_GSM887318	B_GSM887480	B_GSM887527	B_GSM887574	B_GSM887577	B_GSM887596	B_GSM887666	B_GSM887682	B_GSM887689	B_GSM887722	O_GSM886945	O_GSM886996	O_GSM887247	O_GSM887248	O_GSM887249	O_GSM887250	O_GSM887251	O_GSM887252	O_GSM887253	O_GSM887254	O_GSM887255	O_GSM887256	O_GSM887475	O_GSM887476	O_GSM887691	O_GSM887692	O_GSM887693	O_GSM887694	O_GSM887695	O_GSM887697	O_GSM887698	O_GSM887700	O_GSM887701	O_GSM887702	O_GSM887713
126353_at	4.8797	5.315	5.3558	5.1558	4.9536	6.1123	5.6046	5.7376	5.3326	5.4902	5.1587	5.4725	5.9689	5.058	5.0382	5.0104	5.4865	5.6342	5.1647	4.9125	5.1928	5.4529	5.8359	5.999	7.2685	7.0528	9.0223	7.1451	7.2124	8.4462	8.021	8.8118	8.9884	6.7088	8.3587	6.5349	7.5116	9.138	8.5524	8.212	7.9909	7.67	8.5928	8.2839	9.154	8.5313	6.383	6.6967	8.8282	6.5832
126695_at	3.9588	3.8194	4.0117	3.7554	3.7863	3.9163	3.9101	3.5805	4.0123	3.8769	3.7976	4.0184	3.8904	3.738	3.8205	3.9744	3.8938	3.8872	3.8586	3.5801	3.9392	3.7248	3.8811	4.0912	4.2718	5.217	5.2662	5.6807	5.783	5.431	5.5443	5.8347	5.4129	5.6734	6.4401	5.0791	5.3846	7.0518	5.4563	5.78	6.1578	6.3939	5.9784	5.5726	5.75	5.09	5.4161	4.6098	6.1055	6.2354
127703_at	8.3843	8.4811	9.0834	9.0054	8.2335	7.5747	8.8922	9.4942	8.7802	8.477	8.9209	8.7859	8.919	8.3252	8.0425	8.6564	8.3212	8.7928	8.5859	9.2718	9.4573	8.742	8.5441	9.1304	8.8466	6.5205	5.7274	7.6447	7.8066	7.7063	7.7406	6.9318	6.2079	7.5671	7.4897	7.0823	7.6978	6.9194	7.2114	6.9132	7.0666	5.96	7.8404	6.6307	6.2192	5.82	7.052	8.1433	7.3497	7.5625
128218_at	4.7416	5.0224	4.8373	4.8132	5.3212	5.0005	5.0598	4.8679	5.0139	5.0084	5.0263	4.8428	5.5153	4.9069	4.9626	5.1011	5.1501	5.5058	5.6416	4.9604	5.2407	4.7956	5.1712	5.4436	4.7029	8.8891	7.4623	7.8359	7.8845	6.4453	7.649	9.7453	6.0857	7.5932	8.5778	6.3045	7.9578	8.9115	7.6628	7.5917	6.857	8.26	7.6247	8.9761	8.4565	7.1682	6.8385	5.1976	6.6779	7.2537
1366_at	5.0073	5.6201	5.17	5.698	5.3176	5.462	5.809	5.6224	5.6275	5.8134	5.8191	5.2625	5.8173	5.3199	5.4885	4.7825	5.9236	5.2695	5.5201	4.9806	5.2708	5.688	5.4911	5.597	5.3026	10.39	10.341	8.856	9.3394	9.2945	9.4127	10.06	8.6285	8.0097	7.9766	7.1088	5.1371	10.62	9.679	9.7756	10.189	10.253	9.9811	9.0802	9.9043	8.3513	9.3185	5.4221	10.222	8.9893
139231_at	8.3879	7.4439	7.8928	8.0749	7.4792	7.9769	7.6145	7.3142	7.1243	7.63	7.3223	7.8908	7.3229	8.1559	7.7416	8.2686	6.4041	7.199	7.6774	7.1702	7.8208	7.8473	6.9584	7.631	7.9967	8.6869	8.704	8.5987	8.9925	9.057	8.1796	9.128	8.415	8.6334	8.7937	8.4705	9.1078	9.0088	8.764	7.7846	8.9951	8.5654	9.2556	9.2394	8.5713	9.0099	7.7207	8.9921	8.5725	7.8466
143903_at	10.225	7.9816	4.1364	6.9691	10.525	10.968	11.099	10.901	10.713	9.8668	10.491	9.5044	10.609	9.4902	9.1161	8.7625	8.6453	6.6613	10.337	7.6979	7.9783	7.1959	9.568	7.8881	10.354	8.4677	4.1874	4.1579	4.0091	4.2396	7.3729	4.7171	4.1113	3.933	4.4047	8.3195	3.9929	4.4593	4.1057	4.5127	4.4239	5.953	5.0336	8.2984	3.9422	4.4512	4.0921	7.4742	4.0727	4.8617
1512_at	7.0944	6.7259	5.885	6.0803	5.2079	8.3948	4.7481	8.0314	5.8373	5.1145	7.3594	5.4558	5.5538	6.9857	7.8053	7.0323	9.7062	8.764	4.3664	7.1079	5.6173	9.337	5.4382	7.6419	8.4537	12.216	11.032	5.7469	10.63	8.2531	12.229	10.037	12.912	9.9588	10.175	9.9765	8.5234	11.618	10.055	10.095	11.403	11.185	11.828	9.4318	10.729	13.395	10.583	12.265	12.792	9.5183
153562_at	4.7278	3.3997	3.7221	3.7166	4.1279	4.6929	5.8884	4.5039	3.6063	4.9944	4.7338	3.8028	4.7901	4.2533	4.126	5.0543	3.9196	3.5861	3.9827	3.6288	3.8148	3.8232	3.9015	3.6893	3.4634	6.3902	7.6599	7.7662	6.9577	7.7286	6.6371	6.9227	8.3293	7.7362	6.0421	5.808	7.6626	5.3593	7.6984	7.6604	8.3811	6.994	7.794	6.1965	7.9254	6.1561	7.3739	5.7611	7.944	7.5408
1601_at	8.7272	7.8822	8.9385	8.7011	10.561	10.498	11.403	12.008	12.18	11.498	12.047	10.806	10.923	11.155	11.115	9.7047	11.612	6.1127	11.125	6.194	7.6403	11.115	12.062	6.709	8.868	7.2503	7.2493	4.7214	4.9835	4.982	5.9518	4.9829	5.8234	4.7092	4.9331	8.78	4.5765	6.5596	5.5606	5.4157	5.1471	4.5589	5.1856	7.4284	6.6209	4.6033	4.6118	9.1542	4.6053	4.5468
